Código Producto,Código de Barras,Nombre Producto,Precio Lista,Marca,Presentación,Impuesto (%),Precio Neto
50150,7702090020847,POSTOBON BRETAÑA X 100NZ,2600.00,BRETAÑA,100NZ,19.00,2650.00
50229,7702090029505,POSTOBON COLOMBIANA 1.5 L,4300.00,POSTOBON,1.5 L,19.00,3750.00
50482,7707151700515,POSTOBON COLOMBIANA 1.5L,4500.00,,,19.00,3750.00
50522,7707151700874,POSTOBON COLOMBIANA 400ML,2500.00,,,19.00,2150.00
50534,7707151700119,POSTOBON COLOMBIANA 500 ML,2500.00,,,19.00,2150.00
50488,7702090001563,POSTOBON MANZANA 1.5 L,4500.00,,,19.00,3750.00
50230,7702090029512,POSTOBON MANZANA 1.5 L,4300.00,POSTOBON,1.5 L,19.00,3750.00
50297,7702090016406,POSTOBON MANZANA 2.5 LT,5500.00,POSTOBON,2.5 LT,19.00,4600.00
50501,7702090065527,POSTOBON NARANJA 1.5L,4500.00,,,19.00,3750.00
50365,7702090049084,POSTOBON NARANJA 2 LT,4500.00,,,0.00,3350.00
50159,7702090031935,POSTOBON NARANJA 400ML,2500.00,POSTOBON,400 ML,0.00,2500.00
50454,7702090029550,POSTOBON UVA 1.5 LT,4300.00,,,19.00,3750.00
50334,7702090049077,POSTOBON UVA 2 LT,4500.00,POSTOBON,2 LT,0.00,3350.00
50156,7702090031942,POSTOBON UVA 400ML,2500.00,POSTOBON,400 ML,0.00,2100.00
50533,7702090000153,POSTOBON UVA 500ML,2500.00,POSTOBON,400 ML,0.00,2100.00
,,,,,,,
50092,7702535024423,COCA COLA 1.5 L,6000.00,COCA COLA,1.5 L,19.00,5000.00
50484,7702535025482,COCA COLA 1.5L,6300.00,,,19.00,5400.00
50400,7702535001783,COCA COLA 2.25 L,7200.00,,3 K,0.00,6550.00
50453,7702535024430,COCA COLA 2.5 LT,8000.00,,,0.00,8000.00
50054,7702535024447,COCA COLA 3 L,10500.00,COCA COLA FEMSA,3 L,19.00,9150.00
50457,7702535033593,COCA COLA 500 ML,3000.00,,,19.00,2500.00
50518,7702535025284,COCA COLA EN LATA 269ML,3000.00,COCA COLA FEMSA,235 ML,19.00,2500.00
50527,7702535025260,COCA COLA EN LATA CAFE 269ML,3300.00,COCA COLA FEMSA,235 ML,19.00,2800.00
50109,7702535021712,COCA COLA EN LATA X 235 ML,3000.00,COCA COLA FEMSA,235 ML,19.00,2500.00
50275,7702535023761,COCA COLA LATA CAFE 235ML,3300.00,COCACOLA FEMSA,235ML,19.00,2600.00
50273,7702535028032,COCA COLA SIN AZUCAR 1.365L,2800.00,COCACOLA FEMSA,1.365 L,0.00,2100.00
50277,7702535011119,COCA COLA SIN AZUCAR 400 ML,2400.00,COCACOLA FEMSA,400 ML,0.00,2000.00
50108,7702535001028,COCA COLA X 350 ML,1900.00,COCA COLA,X 350 ML,0.00,1900.00
50449,7702535011799,COCA COLA ZERO 1.5L,6500.00,,,0.00,5400.00
50029,7702535011089,COCACOLA 400ML,2800.00,COCACOLA FEMSA,400ML,0.00,2350.00
